ID,Name,Category,Subcategory,Description Length,Quality Score,Recommendation,Issues
559,"Victoria","Food & Drinks","Bars",393,1.8,"replace","["Description is irrelevant to the POI category (Bars)", "Text is confusing and poorly structured", "Lacks any useful information about the POI"]"
1383,"Glamour","Shopping","Fashion & Clothing",492,1.8,"replace","["Description contains irrelevant information about food, hotels, and real estate.", "Lacks specific details about the shopping experience at Glamour.", "Poorly structured and unclear."]"
1191,"Banys publics","Practical","Services",452,1.8,"replace","["Description is incoherent and contains irrelevant information", "Lacks essential details about the POI", "Poorly structured and unclear"]"
244,"Rampa","Active","Water Sports",427,1.8,"replace","["Description is incoherent and unclear", "Lacks useful information about the POI", "Poorly structured and confusing"]"
72,"IAN & LINDSEY","Accommodation (do not communicate)","",457,2.0,"replace","["Description is irrelevant and confusing", "Lacks essential information about the POI", "Poorly structured and unclear"]"
1362,"Adagio di Martina Cava","Shopping","Fashion & Clothing",477,2.0,"replace","["Description is a jumble of unrelated text and directions", "No useful information about the POI", "Poorly structured and unclear"]"
132,"Pumptrack Calpe","Active","Sports & Fitness",434,2.0,"replace","["Description is incoherent and lacks useful information", "Contains irrelevant social media references", "Poor grammar and structure"]"
477,"Alvarez Comunidad de Bienes","Food & Drinks","Bars",492,2.0,"replace","["Description is irrelevant to the POI category (Bars)", "Text is confusing and poorly structured", "Lacks any useful information about the POI"]"
242,"Rampa","Active","Water Sports",427,2.0,"replace","["Description is incoherent and unclear", "Lacks useful information about the POI", "Poorly structured and confusing"]"
301,"La Caleta","Beaches & Nature","Parks & Gardens",491,2.2,"replace","["Description is not about the POI, but rather about unrelated real estate and hotel listings.", "Lacks any useful information about La Caleta itself.", "Poorly structured and unclear."]"
1365,"Begosmujerbonita perfums Dubai","Shopping","Fashion & Clothing",400,2.2,"replace","["Description is unclear and confusing", "Lacks specific information about the POI", "Contains irrelevant information"]"
933,"🐠 MOBAY Cafetería Gastrobar","Food & Drinks","Bar Restaurants",483,2.2,"replace","["Description is repetitive and unclear", "Lacks specific details about the POI", "Contains irrelevant and mixed information"]"
513,"DSTRITO +57","Food & Drinks","Bars",494,2.4,"replace","["Description is a mix of unrelated information", "Lacks key details about the POI", "Poorly structured and unclear"]"
119,"Escuela Taekwondo Founti Calpe","Active","Sports & Fitness",496,2.4,"replace","["Description is repetitive and unclear", "Lacks essential information about the POI", "Poorly structured and difficult to understand"]"
386,"Pene de Moraira (Falofish)","Culture & History","Arts & Museums",467,2.4,"replace","["Description is unclear and poorly structured", "Lacks essential information about the POI", "Contains irrelevant and repetitive content"]"
395,"Ventana al mar","Culture & History","Arts & Museums",423,2.4,"replace","["Description is incomplete and contains irrelevant information.", "Poor grammar and structure.", "Lacks specific details about the POI."]"
399,"Bunker del Rincón de Loix","Culture & History","Historical Sites",450,2.4,"replace","["Description is unclear and seems to be a mix of unrelated information", "Lacks essential details about the POI", "Poorly structured and difficult to understand"]"
1430,"Multi Precio","Shopping","Home & Lifestyle",410,2.4,"replace","["Description is unclear and poorly structured", "Contains irrelevant information about museums and apartments", "Lacks specific details about the shopping experience"]"
153,"Mirador del Racó del Pallarés","Active","Hiking",497,2.4,"replace","["Description is unclear and poorly structured", "Lacks specific, useful information about the POI", "Contains irrelevant and promotional content"]"
927,"Yuve","Food & Drinks","Restaurants",455,2.4,"replace","["Description is not relevant to the category (Food & Drinks)", "Contains irrelevant information (property details, names, phone numbers)", "Poorly structured and unclear"]"
182,"Alteadventures","Active","Water Sports",490,2.4,"replace","["Description is unclear and contains formatting errors", "Lacks essential information about the POI", "Not engaging or compelling"]"
1221,"Dispensador de agua potable para botellas","Practical","Services",492,2.4,"replace","["Description is a mix of unrelated sentences and product listings", "Lacks essential information about the POI", "Poorly structured and unclear"]"
981,"Casado Marcos De León J Carlos","Health & Wellbeing","Medical",428,2.4,"replace","["Inaccurate category and subcategory", "Unclear and irrelevant description", "Poor grammar and structure"]"
1287,"SML Associates","Practical","Services",449,2.6,"replace","["Description is incoherent and lacks focus", "Missing essential information about the POI", "Poor grammar and structure"]"
534,"Mac's - Bar","Food & Drinks","Bars",352,2.6,"replace","["Description is repetitive and unclear", "Lacks essential information about the POI", "Poor grammar and structure"]"
550,"Sport Bar Jokers BILLAR-DARDOS.","Food & Drinks","Bars",429,2.6,"replace","["Description is repetitive and unclear", "Lacks specific details about the POI", "Poorly structured and contains irrelevant information"]"
1065,"Animal love","Health & Wellbeing","Pet Care",462,2.6,"replace","["Description is incomplete and cut off", "Lacks specific information about the POI", "Poor grammar and structure"]"
1096,"Cajero Euro Automatic Cash","Practical","Money & Banking",480,2.6,"replace","["Description is unclear and confusing", "Lacks essential information about the POI", "Contains irrelevant information"]"
1209,"Costaben","Practical","Services",358,2.6,"replace","["Description is a mix of unrelated information and hashtags", "Lacks specific details about the POI", "Poorly structured and unclear"]"
515,"Drwk","Food & Drinks","Bars",364,2.8,"replace","["Description contains irrelevant information (e.g., lawsuits, AI art, etc.)", "Lacks specific details about the POI", "Poorly structured and unclear"]"
